arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine
157409,18/9/2018,13/2/2026,320.0,0.0,1.0,27.0,AU,Arredo urbano,806.0,TP,Testapalo,,,,,,,41.71299412686248,12.548685332550312
409718,4/11/2019,13/2/2026,0.0,0.0,1.0,47.0,AU,Arredo urbano,1010.0,TP,Testapalo,,,,,,,41.91996679435278,12.531527582499395
1138192,1/3/2025,13/2/2026,600.0,50.0,1.0,100.0,AU,Arredo urbano,2065.0,SB,Sbraccio su palo,,,,,,,41.74357657851109,12.495629168754991
758367,31/12/2021,31/12/2021,800.0,0.0,1.0,125.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.887225352973786,12.529924832590632
327895,2/12/2016,13/2/2026,0.0,0.0,1.0,210.0,AS,Armatura stradale,261.0,SO,Sospensione,,,,,,,41.9136459756401,12.496455143738766
1270944,1/1/2026,13/2/2026,500.0,1.0,1.0,16.0,AS,Armatura stradale,1379.0,SB_DR,Sbraccio attacco dritto,,,,,,,41.90367417779019,12.389110212525477
270243,17/10/2016,13/2/2026,0.0,0.0,1.0,100.0,NN,Non noto,189.0,NN,Non noto,,,,,,,41.88358415952626,12.487685738207066
52150,1/1/2018,31/8/2023,900.0,200.0,1.0,70.0,AS,Armatura stradale,53.0,SB,Sbraccio su palo,,,,,,,41.966027312151716,12.580762815847189
126495,1/1/2018,31/10/2020,600.0,50.0,1.0,41.0,AS,Armatura stradale,755.0,SB,Sbraccio su palo,,,,,,,41.9475260444165,12.55112495686484
453602,1/1/2019,31/12/2022,0.0,0.0,1.0,125.0,AS,Armatura stradale,2.0,NN,Non noto,,,,,,,41.98613032827735,12.51247324908022
545534,13/3/2019,13/2/2026,800.0,0.0,1.0,32.0,AS,Armatura stradale,1718.0,TP,Testapalo,,,,,,,41.918989324645665,12.72554249885427
988044,1/1/2017,13/2/2026,,,1.0,150.0,AU,Arredo urbano,189.0,TP,Testapalo,,,,,,,41.98685457819115,12.427112403138727
91791,1/1/2018,31/12/2021,600.0,0.0,1.0,40.5,AS,Armatura stradale,655.0,SO,Sospensione,,,,,,,41.79460812481156,12.357617418870266
141561,28/5/2018,13/2/2026,0.0,0.0,1.0,58.0,AS,Armatura stradale,550.0,NN,Non noto,,,,,,,41.95103373259511,12.346284201048174
836565,1/1/2022,31/3/2025,900.0,200.0,1.0,49.0,AS,Armatura stradale,2417.0,SB,Sbraccio su palo,,,,,,,41.85317580456638,12.442224925375632
870572,1/1/2022,13/2/2026,0.0,0.0,1.0,41.0,AS,Armatura stradale,2270.0,TP,Testapalo,,,,,,,41.78863552224117,12.434659642689736
465887,1/1/2020,13/2/2026,700.0,150.0,1.0,100.0,AS,Armatura stradale,1364.0,SB,Sbraccio su palo,,,,,,,41.84824891635237,12.45641210555727
1085826,1/1/2024,13/2/2026,900.0,,1.0,21.0,AS,Armatura stradale,3670.0,SB,Sbraccio su palo,,,,,,,41.73479280906468,12.383589286247934
714105,1/1/2022,13/5/2022,850.0,0.0,1.0,73.0,AS,Armatura stradale,722.0,TP,Testapalo,,,,,,,41.964055565286706,12.530333586495626
1118857,1/1/2024,13/2/2026,800.0,0.0,1.0,100.0,AS,Armatura stradale,2.0,TP,Testapalo,,,,,,,42.070037794613064,12.334529665982922
721032,1/3/2022,8/3/2022,800.0,,1.0,58.0,AS,Armatura stradale,1941.0,,,,,,,,,41.859020142877284,12.553953836671543
827023,1/5/2021,31/12/2023,900.0,0.1,1.0,100.0,AS,Armatura stradale,,PI,Pipetta,,,,,,,41.944668239514996,12.385651113874363
406041,6/8/2019,13/2/2026,800.0,100.0,1.0,100.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,41.85282981645316,12.435261213957538
750277,1/1/2022,13/2/2026,900.0,,1.0,31.0,AS,Armatura stradale,2259.0,TP,Testapalo,,,,,,,41.892543637907416,12.606401136738219
